"Country","Region","Population","Overall.rank","Score","GDP.per.capita","Social.support","Healthy.life.expectancy","Freedom.to.make.life.choices","Generosity","Perceptions.of.corruption","Year"
"Burundi","AFRICA",8090068,145,3.775,0.046,0.447,0.38,0.22,0.176,0.18,2019
"Cambodia","ASIA",13881427,109,4.7,0.574,1.122,0.637,0.609,0.232,0.062,2019
"Cameroon","AFRICA",17340702,96,5.044,0.549,0.91,0.331,0.381,0.187,0.037,2019
"Canada","NORTHERN_AMERICA",33098932,9,7.278,1.365,1.505,1.039,0.584,0.285,0.308,2019
"Chad","AFRICA",9944201,132,4.35,0.35,0.766,0.192,0.174,0.198,0.078,2019
"Chile","LATIN",16134219,26,6.444,1.159,1.369,0.92,0.357,0.187,0.056,2019
"China","ASIA",1313973713,93,5.191,1.029,1.125,0.893,0.521,0.058,0.1,2019
"Colombia","LATIN",43593035,43,6.125,0.985,1.41,0.841,0.47,0.099,0.034,2019
"Comoros","AFRICA",690948,142,3.973,0.274,0.757,0.505,0.142,0.275,0.078,2019
"Costa Rica","LATIN",4075261,12,7.167,1.034,1.441,0.963,0.558,0.144,0.093,2019
"Croatia","EUROPE",4494749,75,5.432,1.155,1.266,0.914,0.296,0.119,0.022,2019
"Cyprus","NEAR_EAST",784301,49,6.046,1.263,1.223,1.042,0.406,0.19,0.041,2019
"Czech Republic","EUROPE",10235455,20,6.852,1.269,1.487,0.92,0.457,0.046,0.036,2019
"Denmark","EUROPE",5450661,2,7.6,1.383,1.573,0.996,0.592,0.252,0.41,2019
"Dominican Republic","LATIN",9183984,77,5.425,1.015,1.401,0.779,0.497,0.113,0.101,2019
"Ecuador","LATIN",13547510,50,6.028,0.912,1.312,0.868,0.498,0.126,0.087,2019
"Egypt","AFRICA",78887007,137,4.166,0.913,1.039,0.644,0.241,0.076,0.067,2019
"El Salvador","LATIN",6822378,35,6.253,0.794,1.242,0.789,0.43,0.093,0.074,2019
"Estonia","EUROPE",1324333,55,5.893,1.237,1.528,0.874,0.495,0.103,0.161,2019
"Ethiopia","AFRICA",74777981,134,4.286,0.336,1.033,0.532,0.344,0.209,0.1,2019
"Finland","EUROPE",5231372,1,7.769,1.34,1.587,0.986,0.596,0.153,0.393,2019
"France","EUROPE",60876136,24,6.592,1.324,1.472,1.045,0.436,0.111,0.183,2019
"Gabon","AFRICA",1424906,104,4.799,1.057,1.183,0.571,0.295,0.043,0.055,2019
"Gambia","AFRICA",1641564,120,4.516,0.308,0.939,0.428,0.382,0.269,0.167,2019
"Georgia","EUROPE",4661473,119,4.519,0.886,0.666,0.752,0.346,0.043,0.164,2019
"Germany","EUROPE",82422299,17,6.985,1.373,1.454,0.987,0.495,0.261,0.265,2019
"Ghana","AFRICA",22409572,98,4.996,0.611,0.868,0.486,0.381,0.245,0.04,2019
"Greece","EUROPE",10688058,82,5.287,1.181,1.156,0.999,0.067,0,0.034,2019
"Guatemala","LATIN",12293545,27,6.436,0.8,1.269,0.746,0.535,0.175,0.078,2019
"Guinea","AFRICA",9690222,118,4.534,0.38,0.829,0.375,0.332,0.207,0.086,2019
"Haiti","LATIN",8308504,147,3.597,0.323,0.688,0.449,0.026,0.419,0.11,2019
"Honduras","LATIN",7326496,59,5.86,0.642,1.236,0.828,0.507,0.246,0.078,2019
"Hong Kong","ASIA",6940432,76,5.43,1.438,1.277,1.122,0.44,0.258,0.287,2019
"Hungary","EUROPE",9981334,62,5.758,1.201,1.41,0.828,0.199,0.081,0.02,2019
"Iceland","EUROPE",299388,4,7.494,1.38,1.624,1.026,0.591,0.354,0.118,2019
"India","ASIA",1095351995,140,4.015,0.755,0.765,0.588,0.498,0.2,0.085,2019
"Indonesia","ASIA",245452739,92,5.192,0.931,1.203,0.66,0.491,0.498,0.028,2019
"Iran","ASIA",68688433,117,4.548,1.1,0.842,0.785,0.305,0.27,0.125,2019
"Iraq","NEAR_EAST",26783383,126,4.437,1.043,0.98,0.574,0.241,0.148,0.089,2019
"Ireland","EUROPE",4062235,16,7.021,1.499,1.553,0.999,0.516,0.298,0.31,2019
"Israel","NEAR_EAST",6352117,13,7.139,1.276,1.455,1.029,0.371,0.261,0.082,2019
"Italy","EUROPE",58133509,36,6.223,1.294,1.488,1.039,0.231,0.158,0.03,2019
"Jamaica","LATIN",2758124,56,5.89,0.831,1.478,0.831,0.49,0.107,0.028,2019
"Japan","ASIA",127463611,58,5.886,1.327,1.419,1.088,0.445,0.069,0.14,2019
"Jordan","NEAR_EAST",5906760,101,4.906,0.837,1.225,0.815,0.383,0.11,0.13,2019
"Kazakhstan","ASIA",15233244,60,5.809,1.173,1.508,0.729,0.41,0.146,0.096,2019
"Kenya","AFRICA",34707817,121,4.509,0.512,0.983,0.581,0.431,0.372,0.053,2019
"Kuwait","NEAR_EAST",2418393,51,6.021,1.5,1.319,0.808,0.493,0.142,0.097,2019
"Kyrgyzstan","ASIA",5213898,86,5.261,0.551,1.438,0.723,0.508,0.3,0.023,2019
"Laos","ASIA",6368481,105,4.796,0.764,1.03,0.551,0.547,0.266,0.164,2019
"Latvia","EUROPE",2274735,53,5.94,1.187,1.465,0.812,0.264,0.075,0.064,2019
"Lebanon","NEAR_EAST",3874050,91,5.197,0.987,1.224,0.815,0.216,0.166,0.027,2019
"Lesotho","AFRICA",2022331,144,3.802,0.489,1.169,0.168,0.359,0.107,0.093,2019
"Liberia","AFRICA",3042004,141,3.975,0.073,0.922,0.443,0.37,0.233,0.033,2019
"Libya","AFRICA",5900754,72,5.525,1.044,1.303,0.673,0.416,0.133,0.152,2019
"Lithuania","EUROPE",3585906,42,6.149,1.238,1.515,0.818,0.291,0.043,0.042,2019
"Luxembourg","EUROPE",474413,14,7.09,1.609,1.479,1.012,0.526,0.194,0.316,2019
"Madagascar","AFRICA",18595469,143,3.933,0.274,0.916,0.555,0.148,0.169,0.041,2019
"Malawi","AFRICA",13013926,150,3.41,0.191,0.56,0.495,0.443,0.218,0.089,2019
"Malaysia","ASIA",24385858,80,5.339,1.221,1.171,0.828,0.508,0.26,0.024,2019
"Mali","AFRICA",11716829,128,4.39,0.385,1.105,0.308,0.327,0.153,0.052,2019
"Malta","EUROPE",400214,22,6.726,1.3,1.52,0.999,0.564,0.375,0.151,2019
"Mauritania","AFRICA",3177388,122,4.49,0.57,1.167,0.489,0.066,0.106,0.088,2019
